word,inDoc,total,gwt_portlet,ArgoUML,JavaClient,JGAP,Mars,Neuroph,JPMC,xUML,Maze,Wro4J
languag,2,3,0,1,0,0,0,0,0,2,0,0
label,3,3,0,0,0,0,1,1,1,0,0,0
join,2,3,0,2,0,0,0,0,0,1,0,0
jason,1,3,0,3,0,0,0,0,0,0,0,0
io,3,3,1,0,0,0,0,1,0,0,0,1
interact,1,3,0,3,0,0,0,0,0,0,0,0
instar,1,3,0,0,0,0,0,3,0,0,0,0
iac,1,3,0,0,0,0,0,3,0,0,0,0
histor,1,3,0,0,0,0,3,0,0,0,0,0
health,1,3,0,0,0,0,3,0,0,0,0,0
header,3,3,1,0,0,0,0,0,1,0,0,1
grid,2,3,0,1,0,0,2,0,0,0,0,0
genotyp,1,3,0,0,0,3,0,0,0,0,0,0
genom,1,3,0,0,0,0,0,0,3,0,0,0
gaussian,2,3,0,0,0,2,0,1,0,0,0,0
fork,2,3,0,2,0,0,0,0,0,1,0,0
font,2,3,0,1,0,0,0,0,2,0,0,0
facad,2,3,0,1,0,0,0,0,2,0,0,0
exit,2,3,0,2,0,0,1,0,0,0,0,0
exercis,1,3,0,0,0,0,3,0,0,0,0,0
enabl,3,3,1,1,1,0,0,0,0,0,0,0
emerg,1,3,0,0,0,0,3,0,0,0,0,0
easi,1,3,0,0,0,0,0,3,0,0,0,0
earth,1,3,0,0,0,0,3,0,0,0,0,0
dispatch,3,3,0,1,0,1,0,0,0,0,0,1
direct,2,3,0,0,0,0,2,0,0,0,1,0
dio,1,3,0,0,3,0,0,0,0,0,0,0
dine,1,3,0,0,0,0,3,0,0,0,0,0
delta,2,3,0,0,0,1,0,2,0,0,0,0
delai,2,3,0,1,0,0,0,2,0,0,0,0
cross,2,3,0,0,0,2,0,0,0,0,1,0
critiqu,1,3,0,3,0,0,0,0,0,0,0,0
crew,1,3,0,0,0,0,3,0,0,0,0,0
countri,1,3,3,0,0,0,0,0,0,0,0,0
condit,2,3,0,0,0,0,1,0,0,2,0,0
compound,2,3,2,1,0,0,0,0,0,0,0,0
compat,1,3,0,0,0,0,0,0,3,0,0,0
comment,1,3,0,0,0,0,0,0,0,0,0,3
clock,1,3,0,0,0,0,3,0,0,0,0,0
clarifi,1,3,0,3,0,0,0,0,0,0,0,0
cl,1,3,0,3,0,0,0,0,0,0,0,0
cargo,1,3,0,0,0,0,3,0,0,0,0,0
calcul,1,3,0,0,0,3,0,0,0,0,0,0
byte,2,3,0,0,2,0,0,0,0,0,0,1
audiodsp,1,3,0,0,3,0,0,0,0,0,0,0
audio,2,3,0,0,2,0,1,0,0,0,0,0
area,2,3,2,1,0,0,0,0,0,0,0,0
anim,2,3,1,0,0,0,0,0,0,0,2,0
aio,1,3,0,0,3,0,0,0,0,0,0,0
accommod,1,3,0,0,0,0,3,0,0,0,0,0
xor,2,2,0,0,0,1,0,1,0,0,0,0
writer,2,2,0,1,0,1,0,0,0,0,0,0
world,1,2,2,0,0,0,0,0,0,0,0,0
work,1,2,0,0,0,0,2,0,0,0,0,0
